Time	Node	Type	Packets	
10	240	CacheHits	0
10	240	CacheMisses	0
10	241	CacheHits	55
10	241	CacheMisses	187
10	242	CacheHits	0
10	242	CacheMisses	0
10	243	CacheHits	0
10	243	CacheMisses	0
10	244	CacheHits	127
10	244	CacheMisses	420
10	245	CacheHits	38
10	245	CacheMisses	252
10	246	CacheHits	264
10	246	CacheMisses	726
10	247	CacheHits	173
10	247	CacheMisses	569
10	248	CacheHits	45
10	248	CacheMisses	172
10	249	CacheHits	105
10	249	CacheMisses	210
10	250	CacheHits	98
10	250	CacheMisses	304
10	251	CacheHits	168
10	251	CacheMisses	385
10	252	CacheHits	160
10	252	CacheMisses	544
10	253	CacheHits	197
10	253	CacheMisses	692
10	254	CacheHits	285
10	254	CacheMisses	869
10	255	CacheHits	108
10	255	CacheMisses	378
10	256	CacheHits	345
10	256	CacheMisses	470
10	257	CacheHits	0
10	257	CacheMisses	0
10	258	CacheHits	0
10	258	CacheMisses	0
10	259	CacheHits	0
10	259	CacheMisses	0
10	260	CacheHits	0
10	260	CacheMisses	0
10	261	CacheHits	75
10	261	CacheMisses	233
10	262	CacheHits	0
10	262	CacheMisses	0
10	263	CacheHits	0
10	263	CacheMisses	0
10	264	CacheHits	180
10	264	CacheMisses	529
10	265	CacheHits	54
10	265	CacheMisses	285
10	266	CacheHits	360
10	266	CacheMisses	479
10	267	CacheHits	168
10	267	CacheMisses	627
10	268	CacheHits	11
10	268	CacheMisses	136
10	269	CacheHits	9
10	269	CacheMisses	141
10	270	CacheHits	34
10	270	CacheMisses	148
10	271	CacheHits	76
10	271	CacheMisses	176
10	272	CacheHits	0
10	272	CacheMisses	0
10	273	CacheHits	0
10	273	CacheMisses	0
10	274	CacheHits	230
10	274	CacheMisses	830
10	275	CacheHits	473
10	275	CacheMisses	1002
10	276	CacheHits	467
10	276	CacheMisses	756
10	277	CacheHits	360
10	277	CacheMisses	473
10	278	CacheHits	0
10	278	CacheMisses	0
10	279	CacheHits	0
10	279	CacheMisses	0
10	280	CacheHits	0
10	280	CacheMisses	0
10	281	CacheHits	77
10	281	CacheMisses	300
10	282	CacheHits	0
10	282	CacheMisses	0
10	283	CacheHits	0
10	283	CacheMisses	0
10	284	CacheHits	390
10	284	CacheMisses	688
10	285	CacheHits	68
10	285	CacheMisses	327
10	286	CacheHits	0
10	286	CacheMisses	0
10	287	CacheHits	372
10	287	CacheMisses	687
10	288	CacheHits	0
10	288	CacheMisses	0
10	289	CacheHits	0
10	289	CacheMisses	0
10	290	CacheHits	0
10	290	CacheMisses	0
10	291	CacheHits	62
10	291	CacheMisses	240
10	292	CacheHits	0
10	292	CacheMisses	0
10	293	CacheHits	0
10	293	CacheMisses	0
10	294	CacheHits	0
10	294	CacheMisses	0
10	295	CacheHits	0
10	295	CacheMisses	0
10	296	CacheHits	0
10	296	CacheMisses	0
10	297	CacheHits	0
10	297	CacheMisses	0
10	298	CacheHits	0
10	298	CacheMisses	0
10	299	CacheHits	0
10	299	CacheMisses	0
10	300	CacheHits	0
10	300	CacheMisses	0
10	301	CacheHits	125
10	301	CacheMisses	367
10	302	CacheHits	0
10	302	CacheMisses	0
10	303	CacheHits	0
10	303	CacheMisses	0
10	304	CacheHits	52
10	304	CacheMisses	250
10	305	CacheHits	141
10	305	CacheMisses	381
10	306	CacheHits	0
10	306	CacheMisses	0
10	307	CacheHits	59
10	307	CacheMisses	252
10	308	CacheHits	106
10	308	CacheMisses	307
10	309	CacheHits	117
10	309	CacheMisses	398
10	310	CacheHits	343
10	310	CacheMisses	502
10	311	CacheHits	134
10	311	CacheMisses	290
10	312	CacheHits	0
10	312	CacheMisses	0
10	313	CacheHits	0
10	313	CacheMisses	0
10	314	CacheHits	0
10	314	CacheMisses	0
10	315	CacheHits	0
10	315	CacheMisses	0
10	316	CacheHits	0
10	316	CacheMisses	0
10	317	CacheHits	0
10	317	CacheMisses	0
10	318	CacheHits	0
10	318	CacheMisses	0
10	319	CacheHits	0
10	319	CacheMisses	0
10	320	CacheHits	0
10	320	CacheMisses	0
10	321	CacheHits	377
10	321	CacheMisses	473
10	322	CacheHits	0
10	322	CacheMisses	0
10	323	CacheHits	0
10	323	CacheMisses	0
10	324	CacheHits	134
10	324	CacheMisses	294
10	325	CacheHits	351
10	325	CacheMisses	508
10	326	CacheHits	0
10	326	CacheMisses	0
10	327	CacheHits	0
10	327	CacheMisses	0
10	328	CacheHits	0
10	328	CacheMisses	0
10	329	CacheHits	0
10	329	CacheMisses	0
10	330	CacheHits	0
10	330	CacheMisses	0
10	331	CacheHits	161
10	331	CacheMisses	414
10	332	CacheHits	166
10	332	CacheMisses	558
10	333	CacheHits	380
10	333	CacheMisses	706
10	334	CacheHits	114
10	334	CacheMisses	284
10	335	CacheHits	0
10	335	CacheMisses	0
